inter_id,user_id,book_id,借阅时间,还书时间,续借时间,续借次数,题名,作者,出版社,二级分类,性别,年级,类型,借阅月份,是否学期内,交互权重,DEPT,dept_book_preference,dept_cat1_preference
5788,1264,3193,2024-08-20 12:38:11,2024-09-19 12:38:11,2024-09-09 12:38:11,2,认知觉醒,(英) 保罗·斯隆著,中国友谊出版公司,思维科学(总论),F,18,博士,8,0,1.4,电子科学与工程学院,0.9999999900000002,0.05307855626308182
15327,874,8879,2021-07-12 20:53:23,2021-08-11 20:53:23,,0,泰国华侨华人史话,叶曙明著,广东教育出版社,民政工作,F,19,硕士,7,1,1.0,人文学院,0.9999999900000002,0.08382817922411982
98724,77,55593,2021-07-05 20:51:28,2021-08-04 20:51:28,,0,计算机网络,"汪军, 严楠主编",科学出版社,计算机网络,M,18,本科,7,1,1.0,计算机科学与工程学院,0.9999999900000002,0.24098671726602794
56881,1195,31994,2024-02-19 18:41:22,2024-03-20 18:41:22,,0,深入北方的小路,(澳) 理查德·弗兰纳根著,上海文艺出版社, 澳大利亚,M,23,硕士,2,1,1.0,电气工程学院,0.9999999900000002,0.32668528121130164
34721,1096,3516,2024-08-22 11:56:17,2024-09-21 11:56:17,,0,不惧老去:哲学伦理学视角下的老年关切,张容南著,广西师范大学出版社,伦理学(道德哲学),M,22,硕士,8,0,1.0,外国语学院,0.9999999900000002,0.07024029574828909
43837,832,24711,2022-05-30 16:03:55,2022-06-29 16:03:55,,0,AWM绝地求生.上册,漫漫何其多著,北京时代华文书局,当代作品（1949年~）,F,19,硕士,5,1,1.0,数学学院,0.9999999900000002,0.22332706261697574
30308,1020,18672,2024-01-01 11:57:34,2024-01-31 11:57:34,2024-01-16 11:57:34,1,囚徒健身:用失传的技艺练就强大的生存实力,(美) 保罗·威德著,北京科学技术出版社,健美运动(健力美),M,22,硕士,1,1,1.2,机械工程学院,0.49999999916666665,0.013276836158154585
37877,683,24355,2023-11-11 09:59:09,2023-12-11 09:59:09,,0,一句顶一万句,刘震云著,长江文艺出版社,当代作品（1949年~）,M,23,本科,11,1,1.0,计算机科学与工程学院,0.10606060604453628,0.4067046173282309
43314,1435,26220,2024-09-29 14:16:41,2024-10-29 14:16:41,,0,笙笙喜欢你,准拟佳期著,贵州人民出版社,当代作品（1949年~）,M,24,博士,9,1,1.0,电子科学与工程学院,0.9999999900000002,0.2990092002820276
93643,1190,52567,2024-03-07 20:23:38,2024-04-06 20:23:38,2024-03-27 20:23:38,2,"可能与不可能的边界:P/NP问题趣史:P, NP, and the search for the impossible",(美) Lance Fortnow著,人民邮电出版社,理论、方法,F,23,硕士,3,1,1.4,经济管理学院,0.9999999900000002,0.09751937984481004
94211,205,52900,2020-09-08 17:02:07,2020-10-08 17:02:07,,0,从零开始学Python网络爬虫,"罗攀, 蒋仟编著",机械工业出版社,程序设计、软件工程,F,19,本科,9,1,1.0,经济管理学院,0.4999999975,0.09751937984481004
39009,28,24367,2020-08-27 12:26:00,2020-09-26 12:26:00,,0,度外,黄国峻著,四川人民出版社,当代作品（1949年~）,F,18,本科,8,0,1.0,经济管理学院,0.999999995,0.3134883720925372
77320,250,43402,2022-04-10 09:21:35,2022-05-10 09:21:35,,0,时间序列分析及其应用:基于R语言实例:with R examples,"(美) 罗伯特·H.沙姆韦, 戴维·S.斯托弗著",机械工业出版社,概率论（几率论、或然率论）,F,19,本科,4,1,1.0,物理学院,0.3333333322222222,0.4408427876799523
55571,150,30020,2023-02-28 21:57:05,2023-03-30 21:57:05,,0,不能承受的生命之轻,米兰·昆德拉,上海译文出版社, 东欧、中欧,M,19,本科,2,1,1.0,电气工程学院,0.051282051275476664,0.32668528121130164
63737,524,28690,2023-12-12 21:48:22,2024-01-11 21:48:22,,0,闭经记,(日) 伊藤比吕美著,广西师范大学出版社, 日本,F,21,本科,12,1,1.0,艺术学院,0.9999999900000002,0.1912586263552559
