user_id,性别,DEPT,年级,类型,DEPT_encoded,dept_avg_renew,user_dept_avg_cat1_pref
1,F,艺术学院,18,本科,14,0.5142951035162668,0.1508809626125583
2,F,艺术学院,18,本科,14,0.5142951035162668,0.20799599677317718
3,M,电子科学与工程学院,18,本科,9,0.5672328379334749,0.20167848415583806
4,M,人文学院,18,本科,0,0.4201434410426467,0.18589775830047034
5,F,法学院,18,本科,7,0.4060192023633678,0.3123314173778833
6,M,法学院,18,本科,7,0.4060192023633678,0.4722151479642888
7,F,法学院,18,本科,7,0.4060192023633678,0.38055592856113435
8,M,外国语学院,18,本科,4,0.4865988909426987,0.17922539279029934
9,M,数学学院,18,本科,5,0.6766998118785272,0.2939706704815709
10,F,数学学院,18,本科,5,0.6766998118785272,0.329743512430207
11,M,经济管理学院,18,本科,11,0.5593798449612403,0.17382204246686903
12,M,经济管理学院,18,本科,11,0.5593798449612403,0.1765456276347052
13,M,人文学院,18,本科,0,0.4201434410426467,0.06778746047654215
14,F,人文学院,18,本科,0,0.4201434410426467,0.3181172449900742
15,F,人文学院,18,本科,0,0.4201434410426467,0.08991589372549509
16,M,土木工程学院,18,本科,3,0.6401294498381876,0.1989452235402636
17,F,经济管理学院,18,本科,11,0.5593798449612403,0.1641218925418466
18,M,土木工程学院,18,本科,3,0.6401294498381876,0.21246211537427834
19,F,人文学院,18,本科,0,0.4201434410426467,0.3197457281668589
20,F,人文学院,18,本科,0,0.4201434410426467,0.359632369952408
21,M,土木工程学院,18,本科,3,0.6401294498381876,0.12733908665920027
22,M,电子科学与工程学院,18,本科,9,0.5672328379334749,0.15988237303796807
23,M,电子科学与工程学院,18,本科,9,0.5672328379334749,0.27025365962581765
24,M,数学学院,18,本科,5,0.6766998118785272,0.4632267311642124
25,F,经济管理学院,18,本科,11,0.5593798449612403,0.25805340223904866
26,M,法学院,18,本科,7,0.4060192023633678,0.5291728212693332
27,F,经济管理学院,18,本科,11,0.5593798449612403,0.14472499077127804
28,F,经济管理学院,18,本科,11,0.5593798449612403,0.2499359622510449
29,F,人文学院,18,本科,0,0.4201434410426467,0.27549420323363755
30,F,人文学院,18,本科,0,0.4201434410426467,0.09254677674505501
31,F,人文学院,18,本科,0,0.4201434410426467,0.2964922792174304
32,F,人文学院,18,本科,0,0.4201434410426467,0.2883352122022311
33,M,信息科学与工程学院,18,本科,1,0.7051756007393716,0.21507828639724147
34,M,电气工程学院,18,本科,10,0.5771838851216593,0.24048526195521863
35,M,化学化工学院,18,本科,2,0.5572176514584891,0.24869109947457976
36,M,土木工程学院,18,本科,3,0.6401294498381876,0.1673104360228843
37,M,数学学院,18,本科,5,0.6766998118785272,0.25425761692825855
38,F,数学学院,18,本科,5,0.6766998118785272,0.10747398932669701
39,F,信息科学与工程学院,18,本科,1,0.7051756007393716,0.24266929927687167
40,F,电子科学与工程学院,18,本科,9,0.5672328379334749,0.20049754444587956
41,F,经济管理学院,18,本科,11,0.5593798449612403,0.24291472868179392
42,F,人文学院,18,本科,0,0.4201434410426467,0.22836782710209025
43,M,数学学院,18,本科,5,0.6766998118785272,0.3389565017075392
44,M,机械工程学院,18,本科,6,0.7081920903954803,0.16218724778000998
45,M,土木工程学院,18,本科,3,0.6401294498381876,0.17949242037092938
46,F,经济管理学院,18,本科,11,0.5593798449612403,0.18550152689658814
47,F,电子科学与工程学院,18,本科,9,0.5672328379334749,0.24574265746551402
48,M,电子科学与工程学院,18,本科,9,0.5672328379334749,0.25944154924954843
49,M,信息科学与工程学院,18,本科,1,0.7051756007393716,0.2613403606928068
50,M,物理学院,18,本科,8,0.5721231766612642,0.20538447685824573
51,M,能源与环境学院,18,本科,12,0.6686073591057289,0.21145137918493428
52,F,经济管理学院,18,本科,11,0.5593798449612403,0.18317441860436717
53,M,机械工程学院,18,本科,6,0.7081920903954803,0.2332377227285893
54,M,机械工程学院,18,本科,6,0.7081920903954803,0.3003631961250595
55,M,机械工程学院,18,本科,6,0.7081920903954803,0.17883121468876037
56,F,人文学院,18,本科,0,0.4201434410426467,0.21853358525470923
57,M,土木工程学院,18,本科,3,0.6401294498381876,0.15875700316630675
58,F,经济管理学院,18,本科,11,0.5593798449612403,0.20355968992216503
59,F,能源与环境学院,18,本科,12,0.6686073591057289,0.04862438366273629
60,F,信息科学与工程学院,18,本科,1,0.7051756007393716,0.2086386210270662
61,M,经济管理学院,18,本科,11,0.5593798449612403,0.0679643985069288
62,M,人文学院,18,本科,0,0.4201434410426467,0.10956444992836635
63,F,经济管理学院,18,本科,11,0.5593798449612403,0.24288610614154352
64,F,人文学院,18,本科,0,0.4201434410426467,0.3182024816028523
65,M,经济管理学院,18,本科,11,0.5593798449612403,0.17586788001320897
66,M,自动化学院,18,本科,13,0.6293706293706294,0.1517919580412504
67,F,信息科学与工程学院,18,本科,1,0.7051756007393716,0.3213506366803009
68,F,数学学院,18,本科,5,0.6766998118785272,0.2919466093336237
69,F,电子科学与工程学院,18,本科,9,0.5672328379334749,0.22212855418097163
70,F,数学学院,18,本科,5,0.6766998118785272,0.3937602306309811
71,F,人文学院,18,本科,0,0.4201434410426467,0.2945502686303993
72,F,人文学院,18,本科,0,0.4201434410426467,0.3144074626840677
73,F,人文学院,18,本科,0,0.4201434410426467,0.23914552325114585
74,F,信息科学与工程学院,18,本科,1,0.7051756007393716,0.0751266516052211
75,F,能源与环境学院,18,本科,12,0.6686073591057289,0.2686953371623406
76,F,自动化学院,18,本科,13,0.6293706293706294,0.21121623474466183
77,M,计算机科学与工程学院,18,本科,15,0.7337128399746996,0.26473020970007227
78,M,经济管理学院,18,本科,11,0.5593798449612403,0.11231612781226678
79,M,能源与环境学院,18,本科,12,0.6686073591057289,0.23880044036020098
80,F,土木工程学院,18,本科,3,0.6401294498381876,0.23300387766356914
81,M,经济管理学院,18,本科,11,0.5593798449612403,0.15564482029574175
82,M,机械工程学院,18,本科,6,0.7081920903954803,0.21650973006844051
83,F,外国语学院,18,本科,4,0.4865988909426987,0.36539237102839045
84,M,物理学院,18,本科,8,0.5721231766612642,0.32444924665170777
85,M,经济管理学院,18,本科,11,0.5593798449612403,0.12933396614439685
86,M,人文学院,18,本科,0,0.4201434410426467,0.16546155625806627
87,F,人文学院,18,本科,0,0.4201434410426467,0.3218234369583585
88,F,人文学院,18,本科,0,0.4201434410426467,0.29049354416836104
89,M,物理学院,18,本科,8,0.5721231766612642,0.15419328184999484
90,F,人文学院,18,本科,0,0.4201434410426467,0.31299966581811806
91,M,电子科学与工程学院,18,本科,9,0.5672328379334749,0.2005814356875075
92,F,人文学院,18,本科,0,0.4201434410426467,0.332213941683879
93,F,人文学院,18,本科,0,0.4201434410426467,0.34315763090896645
94,F,能源与环境学院,18,本科,12,0.6686073591057289,0.18532318998042024
95,F,艺术学院,18,本科,14,0.5142951035162668,0.12193692213389562
96,F,能源与环境学院,18,本科,12,0.6686073591057289,0.26586075002408055
97,F,经济管理学院,18,本科,11,0.5593798449612403,0.2739534883716683
98,M,信息科学与工程学院,18,本科,1,0.7051756007393716,0.2434611829938922
99,M,电子科学与工程学院,18,本科,9,0.5672328379334749,0.22393253125657964
100,M,电子科学与工程学院,18,本科,9,0.5672328379334749,0.2486012632019939
101,M,信息科学与工程学院,18,本科,1,0.7051756007393716,0.08250924214398682
102,M,经济管理学院,18,本科,11,0.5593798449612403,0.27296362552134185
103,M,经济管理学院,18,本科,11,0.5593798449612403,0.1561291989661662
104,F,能源与环境学院,18,本科,12,0.6686073591057289,0.34503441494511583
105,M,电气工程学院,18,本科,10,0.5771838851216593,0.24387325245313138
106,M,能源与环境学院,18,本科,12,0.6686073591057289,0.2679035346472051
107,M,化学化工学院,18,本科,2,0.5572176514584891,0.16691598105085828
108,M,人文学院,18,本科,0,0.4201434410426467,0.10078205514690378
109,M,人文学院,18,本科,0,0.4201434410426467,0.14427717322909808
110,M,土木工程学院,18,本科,3,0.6401294498381876,0.10211847873465998
111,F,能源与环境学院,18,本科,12,0.6686073591057289,0.17460409874202468
112,F,经济管理学院,18,本科,11,0.5593798449612403,0.27258261933862266
113,F,经济管理学院,18,本科,11,0.5593798449612403,0.24449612403062868
114,F,人文学院,18,本科,0,0.4201434410426467,0.16973958185340013
115,F,人文学院,18,本科,0,0.4201434410426467,0.0872761376894025
116,M,数学学院,18,本科,5,0.6766998118785272,0.4099704380531847
117,F,外国语学院,18,本科,4,0.4865988909426987,0.38814966836832704
118,F,外国语学院,18,本科,4,0.4865988909426987,0.32060438021472865
119,M,电子科学与工程学院,18,本科,9,0.5672328379334749,0.24648450721473444
120,M,电子科学与工程学院,18,本科,9,0.5672328379334749,0.21313989148308632
121,F,计算机科学与工程学院,18,本科,15,0.7337128399746996,0.2021565615480723
122,M,电子科学与工程学院,18,本科,9,0.5672328379334749,0.23478414720369858
123,M,电子科学与工程学院,18,本科,9,0.5672328379334749,0.20917163751484638
124,M,自动化学院,18,本科,13,0.6293706293706294,0.2115278660723345
125,M,电气工程学院,18,本科,10,0.5771838851216593,0.267208957774306
126,M,化学化工学院,18,本科,2,0.5572176514584891,0.21765145848752696
127,F,信息科学与工程学院,18,本科,1,0.7051756007393716,0.19675721289032735
128,M,机械工程学院,18,本科,6,0.7081920903954803,0.17490009645809765
129,M,土木工程学院,18,本科,3,0.6401294498381876,0.13394976113393817
130,F,经济管理学院,18,本科,11,0.5593798449612403,0.20155242758026687
131,F,经济管理学院,18,本科,11,0.5593798449612403,0.22602325581360305
132,F,法学院,18,本科,7,0.4060192023633678,0.2259003305897215
133,F,人文学院,18,本科,0,0.4201434410426467,0.3556801239039955
134,F,人文学院,18,本科,0,0.4201434410426467,0.09983033855163119
135,M,土木工程学院,18,本科,3,0.6401294498381876,0.0782657831199832
136,F,艺术学院,18,本科,14,0.5142951035162668,0.186920169872541
137,F,人文学院,18,本科,0,0.4201434410426467,0.10096065880651564
138,F,艺术学院,19,本科,14,0.5142951035162668,0.14688884607951208
139,M,艺术学院,19,本科,14,0.5142951035162668,0.11895805511059246
