inter_id,user_id,book_id,借阅时间,还书时间,续借时间,续借次数
71255,53,30615,2021-01-03 11:59:33,2021-01-0316:45:16,,0
34256,270,21513,2021-07-04 19:58:05,2021-11-0213:46:59,2021-10-1801:47:54,1
81389,759,55508,2020-12-19 10:40:22,2021-04-2218:35:24,2021-03-1613:42:08,2
65384,395,32193,2021-11-17 16:44:38,2023-10-2313:19:59,,0
41452,194,42184,2023-09-28 14:38:19,2023-10-0909:47:11,,0
67925,1013,28307,2023-03-20 17:30:05,2023-03-2817:06:53,,0
15724,608,9155,2023-12-07 16:00:08,2024-03-2410:35:38,2024-02-1916:35:01,2
86029,1322,42064,2021-03-31 10:55:08,2021-05-1315:40:18,2021-04-2510:30:51,1
76027,541,42814,2022-06-29 16:43:19,2022-09-0314:06:33,2022-08-0716:40:04,1
28179,1321,17117,2020-12-16 15:38:36,2021-01-0814:54:28,,0
16097,645,8686,2023-12-23 16:57:11,2024-01-1610:56:15,,0
49252,894,4489,2023-05-20 21:28:41,2023-06-0716:58:31,,0
59250,1350,32132,2024-01-14 21:23:54,2024-02-2319:19:11,,0
64424,1229,36129,2023-10-23 17:07:45,2023-10-3016:05:36,,0
97645,912,54756,2022-09-18 09:50:15,2023-02-2719:05:20,2023-03-1910:24:07,1
100221,219,56646,2021-04-16 16:51:37,2021-04-2713:55:04,,0
23828,1052,28580,2023-08-26 12:07:59,2023-09-0918:26:35,,0
19475,1208,13116,2024-04-01 16:56:46,2024-06-0410:03:02,2024-04-3000:26:04,1
38606,302,24203,2020-10-08 11:53:02,2020-12-0909:12:54,2020-11-0715:35:40,1
25611,601,15251,2022-10-28 21:53:01,2022-12-1020:55:03,2022-11-2218:00:44,1
86320,1279,48478,2021-03-25 19:39:01,2021-04-0920:34:36,,0
43699,1360,26326,2022-12-04 19:09:47,2023-03-0820:39:32,,0
32878,285,20602,2020-11-13 21:41:03,2020-11-1614:41:37,,0
91134,1280,51230,2020-12-17 18:17:16,2021-03-2617:32:17,2021-01-1215:14:25,1
88638,1294,49813,2020-10-22 11:43:09,2020-11-2114:52:19,,0
51305,272,10062,2022-06-30 16:47:23,2022-10-1418:07:30,2023-02-1921:41:47,1
30070,388,18493,2022-07-02 13:25:52,2022-08-2115:57:15,,0
83605,1384,46705,2024-12-29 20:25:17,,,0
90258,1236,50695,2024-10-07 12:03:06,2024-12-0310:23:53,2024-11-0610:23:17,1
4218,151,2274,2022-02-25 22:00:52,2022-06-2411:24:39,2022-03-2509:04:39,1
53259,156,30762,2022-02-19 21:57:23,2022-02-2621:53:49,,0
30331,156,18698,2022-05-21 21:56:11,2022-06-1118:02:06,,0
77631,260,43516,2021-05-12 21:09:08,2021-05-3107:55:12,,0
6866,1189,3785,2024-10-15 19:09:58,2024-10-2714:23:17,,0
67942,747,38420,2024-12-11 17:41:31,,,0
33772,180,21195,2022-02-23 20:40:23,2022-03-2713:43:36,,0
30856,1373,19110,2023-05-11 20:44:17,2023-06-1221:34:06,2023-06-0409:53:44,1
58773,993,32873,2023-03-21 17:28:44,2023-05-1815:09:03,2023-04-1814:10:30,1
55233,745,30680,2024-12-04 19:08:56,,,0
32097,168,20010,2021-06-01 16:52:38,2021-08-2512:55:37,2022-08-1218:28:51,1
28316,888,17236,2021-08-10 13:23:35,2021-10-2212:22:58,,0
102606,403,58329,2024-02-25 15:01:07,2024-05-2615:37:07,2024-04-2510:13:48,2
26980,391,16375,2023-06-07 22:11:31,2023-06-0818:51:25,,0
41926,495,25778,2024-03-29 07:56:17,2024-05-1914:51:22,2024-04-2813:59:30,1
27888,171,38062,2020-12-19 12:29:58,2021-01-0212:54:29,,0
71959,228,41183,2020-12-28 16:04:43,2021-01-1314:07:09,,0
24656,58,14614,2021-01-01 19:47:32,2021-01-1814:39:19,2021-07-1408:40:57,0
60298,963,33321,2020-12-10 18:10:31,2021-01-0610:31:49,,0
70687,1309,26161,2023-05-18 16:35:39,2023-09-2608:38:20,,0
34617,263,21749,2020-12-05 08:30:04,2020-12-2318:13:20,,0
17724,1208,8161,2024-02-29 19:49:09,2024-04-0116:55:00,,0
45804,461,27615,2021-11-24 16:05:43,2022-01-0409:20:37,2021-12-2110:07:21,1
27264,353,16570,2023-06-16 13:41:42,2023-06-1617:32:25,,0
33208,955,34108,2023-05-29 12:46:25,2023-06-1615:48:26,,0
70799,1377,40378,2024-04-28 11:32:58,2024-05-0921:17:51,,0
39202,90,6615,2020-11-06 15:50:55,2021-01-0416:59:03,2020-12-0209:39:08,1
39618,293,24344,2021-07-05 16:21:53,2021-07-1217:43:15,,0
61173,881,33987,2020-11-30 16:24:59,2021-01-0915:49:44,,0
19321,1205,11116,2024-05-13 17:13:12,2024-06-0709:48:49,,0
66720,1218,37690,2023-09-28 16:11:51,2023-10-3020:12:27,,0
48919,554,28359,2022-01-05 17:28:38,2022-06-0817:24:53,2022-03-1417:50:44,2
48174,380,28993,2023-10-05 19:36:28,2023-11-1309:06:35,2023-11-0211:13:08,1
98791,329,55632,2022-08-07 20:25:31,2022-09-0312:51:59,,0
75776,592,42641,2023-08-23 16:27:11,2023-09-2714:19:40,,0
411,270,202,2023-04-18 21:39:44,2023-05-2722:13:08,2023-05-1615:27:25,1
54056,398,30791,2022-09-30 21:50:23,2022-12-1219:44:43,,0
100899,980,57096,2021-11-11 18:44:08,2021-12-1011:30:01,,0
11708,1266,6148,2020-12-14 18:33:13,2021-04-1018:37:21,2021-03-1509:21:15,2
61983,1449,34459,2024-10-24 19:30:59,2024-11-1817:28:21,,0
33539,1002,21041,2022-11-03 19:25:36,2022-11-0421:55:13,,0
48257,421,29016,2021-01-06 21:54:30,2021-03-0616:44:17,,0
42651,727,24369,2024-08-29 13:10:29,2024-09-0117:27:20,,0
1732,299,994,2023-11-09 13:39:41,2023-11-2311:19:14,,0
21642,932,12764,2021-12-26 09:40:36,2022-03-2014:43:06,2022-02-1919:23:44,1
98475,1342,55257,2022-01-06 15:52:11,2022-02-2010:40:07,,0
71497,995,40863,2022-12-11 19:35:52,2023-02-1820:15:44,,0
26555,1400,16026,2023-06-20 21:49:15,2023-10-2618:56:18,2023-09-2617:42:55,2
8687,802,45566,2020-09-14 19:31:35,2020-10-2111:50:06,2020-10-0912:57:47,1
15770,1451,9098,2024-11-29 22:01:23,,2024-12-2315:14:23,1
5778,833,30796,2022-04-29 10:34:00,2022-06-1710:07:33,2022-05-2615:46:25,1
