inter_id,user_id,book_id,借阅时间,还书时间,续借时间,续借次数
89155,119,50113,2020-08-25 15:04:25,2020-10-1318:23:00,2020-09-2023:25:49,1
68320,1044,38715,2022-11-07 18:34:41,2023-02-1509:29:07,2022-12-0121:07:35,1
97,762,19,2020-12-16 19:56:32,2021-04-2418:24:56,2021-01-0516:43:53,1
37070,365,23298,2024-05-25 16:12:36,2024-05-2516:15:23,,0
85057,440,47686,2022-08-11 12:18:00,2022-10-2416:50:54,2022-10-0520:01:32,2
24622,58,14595,2021-02-28 17:41:15,2021-03-1008:35:23,,0
48102,343,28972,2023-11-27 17:32:02,2024-01-0717:58:49,2023-12-1721:26:24,1
66459,677,37533,2023-11-24 21:37:26,2024-01-1716:41:12,,0
737,658,399,2024-06-14 14:17:19,2024-09-2608:52:46,2024-08-2411:42:21,1
69947,1182,39841,2023-11-06 19:20:00,2023-11-2116:19:40,,0
73651,472,41891,2024-03-24 18:03:14,2024-03-2817:22:40,,0
17543,785,10225,2021-03-19 13:33:07,2021-04-1521:49:53,,0
61626,886,34228,2020-09-18 10:15:23,2020-09-2008:15:48,,0
23042,916,13652,2021-01-05 18:21:17,2021-01-1211:33:58,,0
55169,1385,30725,2023-06-30 11:02:32,2023-08-3114:29:07,2023-08-2418:54:31,1
35695,311,22519,2022-06-15 21:23:44,2022-06-2609:32:10,,0
47575,75,28564,2020-10-13 13:26:50,2021-01-0813:42:01,2020-12-1219:04:04,2
12487,1081,7023,2024-02-26 14:36:28,2024-03-0119:13:53,,0
20520,1300,12081,2020-05-09 10:19:15,2020-06-0308:02:57,,0
14166,482,8104,2024-07-02 11:25:15,2024-07-1309:06:17,,0
13441,1331,7639,2022-11-18 13:18:47,2022-11-2121:44:40,,0
19684,1299,11536,2020-05-29 11:29:14,2020-07-0815:12:40,,0
78766,1191,44087,2024-12-11 19:04:07,,,0
89523,912,50293,2021-07-18 17:00:34,2021-10-2121:34:55,,0
42448,661,24369,2022-12-02 08:20:23,2022-12-1111:26:40,,0
33750,958,21182,2021-01-18 17:03:33,2021-05-1719:28:05,2021-04-1222:35:48,2
