inter_id,user_id,book_id,借阅时间,还书时间,续借时间,续借次数,题名,作者,出版社,一级分类,二级分类,性别,DEPT,年级,类型
5788,1264,3193,2024-08-20 12:38:11,2024-09-19 12:38:11,2024-09-09 12:38:11,2,认知觉醒,(英) 保罗·斯隆著,中国友谊出版公司,哲学、宗教,思维科学(总论),F,电子科学与工程学院,18,博士
15327,874,8879,2021-07-12 20:53:23,2021-08-11 20:53:23,,0,泰国华侨华人史话,叶曙明著,广东教育出版社,政治、法律,民政工作,F,人文学院,19,硕士
98724,77,55593,2021-07-05 20:51:28,2021-08-04 20:51:28,,0,计算机网络,"汪军, 严楠主编",科学出版社,工业技术,计算机网络,M,计算机科学与工程学院,18,本科
56881,1195,31994,2024-02-19 18:41:22,2024-03-20 18:41:22,,0,深入北方的小路,(澳) 理查德·弗兰纳根著,上海文艺出版社,文学, 澳大利亚,M,电气工程学院,23,硕士
34721,1096,3516,2024-08-22 11:56:17,2024-09-21 11:56:17,,0,不惧老去:哲学伦理学视角下的老年关切,张容南著,广西师范大学出版社,哲学、宗教,伦理学(道德哲学),M,外国语学院,22,硕士
43837,832,24711,2022-05-30 16:03:55,2022-06-29 16:03:55,,0,AWM绝地求生.上册,漫漫何其多著,北京时代华文书局,文学,当代作品（1949年~）,F,数学学院,19,硕士
30308,1020,18672,2024-01-01 11:57:34,2024-01-31 11:57:34,2024-01-16 11:57:34,1,囚徒健身:用失传的技艺练就强大的生存实力,(美) 保罗·威德著,北京科学技术出版社,文化科学、教育、体育,健美运动(健力美),M,机械工程学院,22,硕士
37877,683,24355,2023-11-11 09:59:09,2023-12-11 09:59:09,,0,一句顶一万句,刘震云著,长江文艺出版社,文学,当代作品（1949年~）,M,计算机科学与工程学院,23,本科
43314,1435,26220,2024-09-29 14:16:41,2024-10-29 14:16:41,,0,笙笙喜欢你,准拟佳期著,贵州人民出版社,文学,当代作品（1949年~）,M,电子科学与工程学院,24,博士
93643,1190,52567,2024-03-07 20:23:38,2024-04-06 20:23:38,2024-03-27 20:23:38,2,"可能与不可能的边界:P/NP问题趣史:P, NP, and the search for the impossible",(美) Lance Fortnow著,人民邮电出版社,工业技术,理论、方法,F,经济管理学院,23,硕士
94211,205,52900,2020-09-08 17:02:07,2020-10-08 17:02:07,,0,从零开始学Python网络爬虫,"罗攀, 蒋仟编著",机械工业出版社,工业技术,程序设计、软件工程,F,经济管理学院,19,本科
39009,28,24367,2020-08-27 12:26:00,2020-09-26 12:26:00,,0,度外,黄国峻著,四川人民出版社,文学,当代作品（1949年~）,F,经济管理学院,18,本科
77320,250,43402,2022-04-10 09:21:35,2022-05-10 09:21:35,,0,时间序列分析及其应用:基于R语言实例:with R examples,"(美) 罗伯特·H.沙姆韦, 戴维·S.斯托弗著",机械工业出版社,数理科学和化学,概率论（几率论、或然率论）,F,物理学院,19,本科
55571,150,30020,2023-02-28 21:57:05,2023-03-30 21:57:05,,0,不能承受的生命之轻,米兰·昆德拉,上海译文出版社,文学, 东欧、中欧,M,电气工程学院,19,本科
63737,524,28690,2023-12-12 21:48:22,2024-01-11 21:48:22,,0,闭经记,(日) 伊藤比吕美著,广西师范大学出版社,文学, 日本,F,艺术学院,21,本科
62214,956,34559,2020-12-07 17:45:20,2021-01-06 17:45:20,,0,风格与世变:中国绘画十论,石守谦著,北京大学出版社,艺术,绘画艺术史,F,艺术学院,20,硕士
101794,823,44480,2021-01-05 10:53:59,2021-02-04 10:53:59,,0,结构动力学,"刘章军, 陈建兵, 彭勇波编著",中国建筑工业出版社,数理科学和化学,结构力学,M,土木工程学院,19,硕士
30712,124,18999,2022-03-05 21:51:14,2022-04-04 21:51:14,,0,沟通力:卡耐基最受欢迎的口才技巧和处世艺术,(美) 戴尔·卡耐基著,中华工商联合出版社,语言、文字,朗诵法、演讲术,M,自动化学院,18,本科
8523,947,30678,2020-12-09 16:37:08,2021-01-08 16:37:08,2020-12-29 16:37:08,2,傲慢与偏见,(英) 简·奥斯汀著,中国宇航出版社,文学, 英国,F,人文学院,20,硕士
80897,381,45090,2021-04-14 16:49:21,2021-05-14 16:49:21,,0,费曼讲物理.相对论,(美) R. P. 费曼著,湖南科学技术出版社,数理科学和化学,相对论、场论,M,能源与环境学院,20,本科
58316,183,32731,2021-11-19 17:02:13,2021-12-19 17:02:13,,0,Zootopia /,Diseney,"华东理工大学出版社,",文学, 北美洲,F,经济管理学院,19,本科
82632,1437,39120,2024-06-13 16:08:18,2024-07-13 16:08:18,2024-07-03 16:08:18,2,吴宓:理想的使者,张弘著,文津出版社,历史、地理,人物传记：按学科分,M,化学化工学院,24,博士
45217,168,27167,2020-07-29 14:18:16,2020-08-28 14:18:16,,0,中国年度散文,"《散文选刊》选编, 王剑冰主编",漓江出版社,文学,当代作品（1949年~）,F,人文学院,19,本科
91782,539,51635,2024-03-29 18:28:43,2024-04-28 18:28:43,2024-04-13 18:28:43,1,深度学习:卷积神经网络技术与实践:convolutional neural network technology and practice,高敬鹏著,机械工业出版社,工业技术,自动推理、机器学习,M,数学学院,21,本科
60742,162,33750,2020-09-30 19:50:23,2020-10-30 19:50:23,,0,立体构成,"主编郭宜章, 孙宇萱, 徐慧丽",中国青年出版社,艺术,构图学,F,艺术学院,19,本科
32212,435,20100,2022-02-27 16:54:39,2022-03-29 16:54:39,,0,英汉翻译教程,樊永前编著,中国石化出版社,语言、文字,写作、修辞,M,土木工程学院,21,本科
94447,250,52743,2021-12-17 11:41:17,2022-01-16 11:41:17,,0,Python深度学习,(美) 弗朗索瓦·肖莱著,人民邮电出版社,工业技术,程序设计、软件工程,F,物理学院,19,本科
4220,283,2402,2022-11-23 14:29:20,2022-12-23 14:29:20,,0,面向思的事情,(德) 海德格尔著,商务印书馆,哲学、宗教,德国哲学,M,人文学院,20,本科
44649,1266,26786,2022-01-11 21:33:04,2022-02-10 21:33:04,,0,半生为人,徐晓作品,中信出版社,文学,回忆录,F,经济管理学院,18,博士
41236,502,25527,2023-03-04 21:38:27,2023-04-03 21:38:27,,0,恰逢雨连天,沉筱之著,青岛出版社,文学,当代作品（1949年~）,F,外国语学院,21,本科
96682,812,54322,2020-09-11 19:48:09,2020-10-11 19:48:09,,0,MATLAB基础与实例教程,闻新 ... [等] 编著,国防工业出版社,工业技术,程序语言、算法语言,M,能源与环境学院,19,硕士
68119,771,38556,2021-03-27 14:52:25,2021-04-26 14:52:25,,0,非洲史,"埃里克·吉尔伯特, 乔纳森·T. 雷诺兹著",海南出版社,历史、地理,通史,M,自动化学院,18,硕士
85304,1437,47857,2024-07-16 21:38:36,2024-08-15 21:38:36,2024-08-05 21:38:36,2,压电振动能量收集:建模与实验:modeling & experiments,(瑞典) Sajid Rafique著,国防工业出版社,工业技术,振动与噪声的发生,M,化学化工学院,24,博士
18389,605,10695,2022-09-20 13:52:24,2022-10-20 13:52:24,2022-10-05 13:52:24,1,论犯罪与刑罚,(意) 切萨雷·贝卡里亚,北京大学出版社,政治、法律,犯罪学,F,人文学院,22,本科
33385,699,28544,2023-11-23 20:52:14,2023-12-23 20:52:14,,0,雪国,(日) 川端康成著,青岛出版社,文学, 日本,M,电气工程学院,23,本科
25490,1330,15238,2023-09-07 10:33:11,2023-10-07 10:33:11,2023-09-22 10:33:11,1,公司治理与公司决策,杨菁菁著,中国社会科学出版社,经济,各种企业经济,F,经济管理学院,20,博士
333,86,148,2022-02-25 19:43:41,2022-03-27 19:43:41,2022-03-12 19:43:41,1,"马克思, 其可能性的中心:the heart of his possibilities",(日) 柄谷行人著,中央编译出版社,马克思主义、列宁主义、毛泽东思想、邓小平理论,马克思、恩格斯著作的学习和研究,M,人文学院,18,本科
