借阅人,性别,DEPT,年级,类型
1,F,艺术学院,18,本科
2,F,艺术学院,18,本科
3,M,电子科学与工程学院,18,本科
4,M,人文学院,18,本科
5,F,法学院,18,本科
6,M,法学院,18,本科
7,F,法学院,18,本科
8,M,外国语学院,18,本科
9,M,数学学院,18,本科
10,F,数学学院,18,本科
11,M,经济管理学院,18,本科
12,M,经济管理学院,18,本科
13,M,人文学院,18,本科
14,F,人文学院,18,本科
15,F,人文学院,18,本科
16,M,土木工程学院,18,本科
17,F,经济管理学院,18,本科
18,M,土木工程学院,18,本科
19,F,人文学院,18,本科
20,F,人文学院,18,本科
21,M,土木工程学院,18,本科
22,M,电子科学与工程学院,18,本科
23,M,电子科学与工程学院,18,本科
24,M,数学学院,18,本科
25,F,经济管理学院,18,本科
26,M,法学院,18,本科
27,F,经济管理学院,18,本科
28,F,经济管理学院,18,本科
29,F,人文学院,18,本科
30,F,人文学院,18,本科
31,F,人文学院,18,本科
32,F,人文学院,18,本科
33,M,信息科学与工程学院,18,本科
34,M,电气工程学院,18,本科
35,M,化学化工学院,18,本科
36,M,土木工程学院,18,本科
37,M,数学学院,18,本科
38,F,数学学院,18,本科
39,F,信息科学与工程学院,18,本科
40,F,电子科学与工程学院,18,本科
41,F,经济管理学院,18,本科
42,F,人文学院,18,本科
43,M,数学学院,18,本科
44,M,机械工程学院,18,本科
45,M,土木工程学院,18,本科
46,F,经济管理学院,18,本科
47,F,电子科学与工程学院,18,本科
48,M,电子科学与工程学院,18,本科
49,M,信息科学与工程学院,18,本科
50,M,物理学院,18,本科
51,M,能源与环境学院,18,本科
52,F,经济管理学院,18,本科
53,M,机械工程学院,18,本科
54,M,机械工程学院,18,本科
55,M,机械工程学院,18,本科
56,F,人文学院,18,本科
57,M,土木工程学院,18,本科
58,F,经济管理学院,18,本科
59,F,能源与环境学院,18,本科
60,F,信息科学与工程学院,18,本科
61,M,经济管理学院,18,本科
62,M,人文学院,18,本科
63,F,经济管理学院,18,本科
64,F,人文学院,18,本科
65,M,经济管理学院,18,本科
66,M,自动化学院,18,本科
67,F,信息科学与工程学院,18,本科
68,F,数学学院,18,本科
69,F,电子科学与工程学院,18,本科
70,F,数学学院,18,本科
71,F,人文学院,18,本科
72,F,人文学院,18,本科
73,F,人文学院,18,本科
